5.88202e-39 10 5.88016e-39
5.88202e-39 -10 5.88016e-39
5.87785 8.09017 5.88016e-39
4.15627 8.09017 4.15626
6.75001e-06 8.09017 5.87785
-4.15626 8.09017 4.15627
-5.87785 8.09017 1.35e-05
-4.15628 8.09017 -4.15625
-1.95493e-05 8.09017 -5.87785
4.15625 8.09017 -4.15628
9.51056 3.09018 5.88016e-39
6.72499 3.09018 6.72498
1.09218e-05 3.09018 9.51056
-6.72497 3.09018 6.72499
-9.51056 3.09018 2.18435e-05
-6.725 3.09018 -6.72496
-3.16315e-05 3.09018 -9.51056
6.72496 3.09018 -6.72501
9.51057 -3.09016 5.88016e-39
6.72499 -3.09016 6.72498
1.09218e-05 -3.09016 9.51057
-6.72498 -3.09016 6.725
-9.51057 -3.09016 2.18435e-05
-6.72501 -3.09016 -6.72497
-3.16315e-05 -3.09016 -9.51057
6.72496 -3.09016 -6.72501
5.87787 -8.09016 5.88016e-39
4.15628 -8.09016 4.15628
6.75003e-06 -8.09016 5.87787
-4.15627 -8.09016 4.15629
-5.87787 -8.09016 1.35001e-05
-4.15629 -8.09016 -4.15627
-1.95494e-05 -8.09016 -5.87787
4.15626 -8.09016 -4.1563
